--- Running testcase sched_jitter  ---
Thu May 16 11:32:53 CEST 2019
Logging to /home/iocuser/ics_gitsrc/e3-tools/rt_conf/ltp/testcases/realtime/logs/ip7-21-x86_64-4.9.0-9-rt-amd64-2019-05-16-sched_jitter.log
delta: 221086159 ns
delta: 220520917 ns
delta: 220548770 ns
delta: 220783754 ns
delta: 220649964 ns
delta: 220457276 ns
delta: 220162984 ns
delta: 220697974 ns
delta: 220648493 ns
delta: 220375123 ns
delta: 221089049 ns
delta: 220950027 ns
delta: 220773694 ns
delta: 220637976 ns
delta: 220655599 ns
delta: 220899941 ns
delta: 220497003 ns
delta: 221463881 ns
delta: 220159158 ns
delta: 220236908 ns
delta: 220710658 ns
delta: 221322365 ns
delta: 220284367 ns
delta: 220970797 ns
delta: 220723466 ns
delta: 221138520 ns
delta: 220389123 ns
delta: 221593841 ns
delta: 220759317 ns
delta: 221431351 ns
delta: 220912205 ns
delta: 221299122 ns
delta: 220805143 ns
delta: 221224004 ns
delta: 220734905 ns
delta: 221179047 ns
delta: 221252740 ns
delta: 219249940 ns
delta: 220704149 ns
delta: 219732161 ns
delta: 220903836 ns
delta: 220751086 ns
delta: 220716532 ns
delta: 220612830 ns
delta: 220866883 ns
delta: 219701730 ns
delta: 220193473 ns
delta: 221222264 ns
max jitter: 8.282819 ms

Thu May 16 11:36:34 CEST 2019
The sched_jitter test appears to have completed.
